"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/CINCIN-ROUND-LAYER-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.41580192854?extraParams=%7B%22display_model_id%22%3A340806909317%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wt-mn8gftlfq22pd6","CINCIN ROUND LAYER BOLD - EMAS 18K - BUNGA TANJUNG GOLD","6.048.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-AURELIA-FLOW-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.47409025868?extraParams=%7B%22display_model_id%22%3A272545518286%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mn5h2vcs8uf7f4","CINCIN AURELIA FLOW - EMAS 17K - BUNGA TANJUNG GOLD","11.592.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-TUNANGAN-EIFFEL-SOLITAIRE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.12894705799?extraParams=%7B%22display_model_id%22%3A445709485835%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mlym80uazuo3be","CINCIN TUNANGAN EIFFEL SOLITAIRE - EMAS 17K - BUNGA TANJUNG GOLD","5.198.000","188 terjual","5.0",""
"https://shopee.co.id/CINCIN-MEIDA-SLIM-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.47709970763?extraParams=%7B%22display_model_id%22%3A292592027388%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mnuve2n8c4xv0a","CINCIN MEIDA SLIM - EMAS 17K - BUNGA TANJUNG GOLD","5.292.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-GROOVED-POLOS-SHIMMER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43262101739?extraParams=%7B%22display_model_id%22%3A59578287227%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mnmcgm33uosh38","CINCIN GROOVED POLOS SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD","4.032.000","Pilih Lokal","4.9","26 terjual"
"https://shopee.co.id/CINCIN-SERENA-WAVE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.29790579677?extraParams=%7B%22display_model_id%22%3A69950211637%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224z-mksx91l9q4udaa","CINCIN SERENA WAVE - EMAS 17K - BUNGA TANJUNG GOLD","3.966.000","Pilih Lokal","4.9","37 terjual"
"https://shopee.co.id/CINCIN-SALIB-ROSARIO-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.57509148832?extraParams=%7B%22display_model_id%22%3A415810684749%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mn9r238k52it9f","CINCIN SALIB ROSARIO BOLD - EMAS 18K - BUNGA TANJUNG GOLD","5.166.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-POLOS-TETES-AIR-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43670393805?extraParams=%7B%22display_model_id%22%3A306665491973%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-mkt0sopeou0yad","CINCIN POLOS TETES AIR - EMAS 17K - BUNGA TANJUNG GOLD","2.646.000","Pilih Lokal","5.0","35 terjual"
"https://shopee.co.id/CINCIN-VESPERA-CURVE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.50608626445?extraParams=%7B%22display_model_id%22%3A340768538397%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wu-mnaz2zxi9mgx75","CINCIN VESPERA CURVE - EMAS 17K - BUNGA TANJUNG GOLD","2.520.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-GEMBOK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.23252549269?extraParams=%7B%22display_model_id%22%3A232043661259%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98r-llymlw1nkl53d7","CINCIN GEMBOK - EMAS 17K - BUNGA TANJUNG GOLD","4.158.000","Pilih Lokal","5.0","37 terjual"
"https://shopee.co.id/CINCIN-TINJU-SIMPUL-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.46856520040?extraParams=%7B%22display_model_id%22%3A297421391923%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mn9vvb9ouj2g74","CINCIN TINJU SIMPUL BOLD - EMAS 18K - BUNGA TANJUNG GOLD","5.166.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-TWIN-PLAT-C-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.56159103349?extraParams=%7B%22display_model_id%22%3A440806800293%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mn8fq6hd9yio4f","CINCIN TWIN PLAT C BOLD - EMAS 18K - BUNGA TANJUNG GOLD","9.324.000","Pilih Lokal","4.9 Penilaian Toko",""
