nama_produk,harga,lokasi,rating,terjual
GELANG BANGLE DANIA - EMAS 17K - BUNGA TANJUNG GOLD,15.244.000,,4.9 Penilaian Toko,
GELANG FLORA CHAIN BOLD - EMAS 18K - BUNGA TANJUNG GOLD,6.778.000,Pilih Lokal,5.0,2 terjual
GELANG SUPER FLAT LILIT PAPERCLIP FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,13.165.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE HATI MATA B - EMAS 17K - BUNGA TANJUNG GOLD,13.766.000,Pilih Lokal,5.0,2 terjual
GELANG SWEET FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,18.118.000,,4.9 Penilaian Toko,
GELANG BANGLE TINJU TUBE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,17.293.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLOVER LISTRING E - EMAS 17K - BUNGA TANJUNG GOLD,16.125.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SOLENE DJUJU FLOWER - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,10.184.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT PAPERCLIP B - EMAS 17K - BUNGA TANJUNG GOLD,11.835.000,Pilih Lokal,5.0,4 terjual
GELANG CLOVER PLAT  - EMAS 17K - BUNGA TANJUNG GOLD,17.136.000,Pilih Lokal,5.0,10 terjual
GELANG BANGLE ZEFIA BLOOM C - EMAS 17K - BUNGA TANJUNG GOLD,20.245.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP PIPIH RUMBAI PITA - EMAS 17K - BUNGA TANJUNG GOLD,21.238.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SISIK NAGA PLAT VARIASI A - EMAS 17K - BUNGA TANJUNG GOLD,11.537.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FASHION PAKU SPIRAL B - EMAS 17K - BUNGA TANJUNG GOLD,24.516.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PITA BOBBA BUBBLE POP E - EMAS 17K - BUNGA TANJUNG GOLD,17.830.000,Pilih Lokal,5.0,2 terjual
GELANG RANTAI HATI KIARA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,12.848.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 55 - EMAS 17K - BUNGA TANJUNG GOLD,11.157.750,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHOKER KEPANG B - EMAS 17K - BUNGA TANJUNG GOLD,12.852.000,Pilih Lokal,5.0,5 terjual
GELANG BANGLE TETES BOLD - EMAS 18K - BUNGA TANJUNG GOLD,36.628.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LISTRING LAYER D - EMAS 17K - BUNGA TANJUNG GOLD,19.010.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KIDS ANAK DISNEY MICKEY D - EMAS 17K - BUNGA TANJUNG GOLD,5.244.000,,4.9 Penilaian Toko,
GELANG REFLECTA PAPERCLIP FANIA CUBETTI - EMAS 18K - BUNGA TANJUNG GOLD,15.372.000,,4.9 Penilaian Toko,
KALUNG ROSARIO ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,18.396.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TINJU COSTAL WAVE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,13.910.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 20 - EMAS 17K - BUNGA TANJUNG GOLD,17.140.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 11 - EMAS 17K - BUNGA TANJUNG GOLD,18.382.000,,4.9 Penilaian Toko,
GELANG REFLECTA FANIA LEAF - EMAS 18K - BUNGA TANJUNG GOLD,13.482.000,,4.9 Penilaian Toko,
GELANG SERUT CLOVER M - EMAS 17K - BUNGA TANJUNG GOLD,6.210.000,Pilih Lokal,4.7,43 terjual
